time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.700000000000000122e-01,8.195168515348154603e-01,8.147492035828817203e-01,2.414796414090473325e-02,1.823706388869448733e-02
1.720000000000000140e-01,8.173147041276204172e-01,8.125402190291690641e-01,2.466446812554878507e-02,1.885618000563639082e-02
1.740000000000000158e-01,8.151117565009001753e-01,8.103071356695722427e-01,2.518514024809342250e-02,1.921731413222487264e-02
1.759999999999999898e-01,8.129080423888874751e-01,8.081552249644989860e-01,2.570994004520208223e-02,1.969129154905985973e-02
1.779999999999999916e-01,8.107035954326650140e-01,8.057152519649014577e-01,2.623882716012345198e-02,2.032667430619941248e-02
1.799999999999999933e-01,8.084984491797297945e-01,8.034836195145136362e-01,2.677176134309875236e-02,2.102337278682512786e-02
1.819999999999999951e-01,8.062926370835572509e-01,8.012447730637917154e-01,2.730870245176917135e-02,2.152984270956781118e-02
1.839999999999999969e-01,8.040861925031663748e-01,7.993575597636930485e-01,2.784961045158321213e-02,2.215565504494223376e-02
1.859999999999999987e-01,8.018791487026837306e-01,7.972897411171078197e-01,2.839444541620403384e-02,2.284880368072248619e-02
1.880000000000000004e-01,7.996715388509080258e-01,7.951318931028994452e-01,2.894316752791686875e-02,2.333366106889734129e-02
1.900000000000000022e-01,7.974633960208751260e-01,7.929509242328056651e-01,2.949573707803637354e-02,2.388399839013806425e-02
1.920000000000000040e-01,7.952547531894215149e-01,7.905845527433890130e-01,3.005211446731394925e-02,2.428654598572970238e-02
1.940000000000000058e-01,7.930456432367498643e-01,7.884619778076087382e-01,3.061226020634517930e-02,2.497394786932965322e-02
1.960000000000000075e-01,7.908360989459929380e-01,7.862851144553733018e-01,3.117613491597714601e-02,2.555790299487585918e-02
1.980000000000000093e-01,7.886261530027783850e-01,7.841322741168511579e-01,3.174369932771585467e-02,2.612413748343057548e-02
2.000000000000000111e-01,7.864158379947927546e-01,7.817297600043715544e-01,3.231491428413350853e-02,2.663431847534424024e-02
