time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.120000000000000023e-01,8.828761663361905931e-01,8.774275445936490225e-01,1.116809126922075138e-02,3.780866775933681371e-03
1.140000000000000041e-01,8.807123016080060651e-01,8.747237844298112464e-01,1.154565431676564218e-02,4.675934428028556689e-03
1.160000000000000059e-01,8.785466198097519053e-01,8.735220422610707747e-01,1.192860346746881135e-02,5.070729402884069370e-03
1.180000000000000077e-01,8.763791572375472239e-01,8.724464913934550925e-01,1.231689529709928226e-02,5.612703479564440379e-03
1.199999999999999956e-01,8.742099501151517904e-01,8.697335985989324003e-01,1.271048646852591078e-02,5.931815927739085212e-03
1.219999999999999973e-01,8.720390345939666998e-01,8.674682106977955609e-01,1.310933373171740274e-02,6.742104686268106210e-03
1.239999999999999991e-01,8.698664467530335953e-01,8.644012357520606260e-01,1.351339392374228260e-02,7.732293794607388894e-03
1.260000000000000009e-01,8.676922225982767189e-01,8.629271686004534869e-01,1.392262396948291611e-02,8.714457258440744605e-03
1.280000000000000027e-01,8.655163977276397747e-01,8.606600919356923729e-01,1.433698119667802841e-02,9.384281890702356882e-03
1.300000000000000044e-01,8.633390076474779518e-01,8.581597687236329763e-01,1.475642303825736891e-02,9.941212941212355936e-03
1.320000000000000062e-01,8.611600880279778325e-01,8.549868987400826015e-01,1.518090679204014970e-02,1.000825237536109164e-02
1.340000000000000080e-01,8.589796744600974865e-01,8.530904725960213320e-01,1.561038984940803231e-02,1.088966838136856165e-02
1.360000000000000098e-01,8.567978024555669148e-01,8.510224509890993438e-01,1.604482969530512254e-02,1.160960765036589751e-02
1.380000000000000115e-01,8.546145074468877167e-01,8.490018464310422619e-01,1.648418390823797736e-02,1.202507656593901006e-02
1.400000000000000133e-01,8.524298247873335344e-01,8.466315640180106517e-01,1.692841016027558931e-02,1.196103182060012475e-02
1.420000000000000151e-01,8.502437897509497189e-01,8.450601165317486174e-01,1.737746621704941083e-02,1.207320282675463513e-02
1.440000000000000169e-01,8.480564375325534421e-01,8.440958578016112268e-01,1.783130993775332990e-02,1.226137914624912152e-02
1.459999999999999909e-01,8.458678032477336961e-01,8.417565950995185009e-01,1.828989927514368050e-02,1.223478768248728588e-02
1.479999999999999927e-01,8.436779219328510715e-01,8.401714788860809024e-01,1.875319227553925647e-02,1.263305315546613128e-02
1.499999999999999944e-01,8.414868285450384233e-01,8.363666510184760705e-01,1.922114707882128723e-02,1.274048873319779708e-02
1.519999999999999962e-01,8.392945579621999830e-01,8.347799694964529449e-01,1.969372191843344819e-02,1.349250753232526280e-02
1.539999999999999980e-01,8.371011449830120243e-01,8.326009829325911049e-01,2.017087512138186073e-02,1.385721317397650698e-02
1.559999999999999998e-01,8.349066243269224197e-01,8.287246491371087487e-01,2.065256510823509223e-02,1.454630872622495949e-02
1.580000000000000016e-01,8.327110306237224258e-01,8.270335921837406179e-01,2.113875040287907861e-02,1.472077503734535095e-02
