time,density_n_site_1,positive_p_n_site_1
1.940000000000000058e-01,8.236578851941414037e-01,8.258307363382072497e-01
1.960000000000000075e-01,8.220122150487606527e-01,8.257065699534094083e-01
1.980000000000000093e-01,8.203698328632330616e-01,8.242028410986412812e-01
2.000000000000000111e-01,8.187307320672146949e-01,8.220459862431113152e-01
2.020000000000000129e-01,8.170949061039898265e-01,8.209317385383174681e-01
2.040000000000000147e-01,8.154623484304711623e-01,8.197920064997045175e-01
2.060000000000000164e-01,8.138330525171998397e-01,8.185322223295126154e-01
2.080000000000000182e-01,8.122070118483455392e-01,8.184710286991017103e-01
2.099999999999999922e-01,8.105842199217061506e-01,8.170294516826646092e-01
2.119999999999999940e-01,8.089646702487079954e-01,8.160533169557678823e-01
2.139999999999999958e-01,8.073483563544060493e-01,8.150675833761835687e-01
2.159999999999999976e-01,8.057352717774833861e-01,8.138755643915169813e-01
2.179999999999999993e-01,8.041254100702517338e-01,8.126909758453229049e-01
2.200000000000000011e-01,8.025187647986511408e-01,8.107071986469636116e-01
2.220000000000000029e-01,8.009153295422500873e-01,8.100832340657512232e-01
2.240000000000000047e-01,7.993150978942453744e-01,8.080463460767837169e-01
2.260000000000000064e-01,7.977180634614623456e-01,8.068121561835768230e-01
2.280000000000000082e-01,7.961242198643547763e-01,8.058018575365132330e-01
2.300000000000000100e-01,7.945335607370046516e-01,8.039683374039559016e-01
2.320000000000000118e-01,7.929460797271227213e-01,8.027900358891969512e-01
2.340000000000000135e-01,7.913617704960477228e-01,8.006596650118381620e-01
2.360000000000000153e-01,7.897806267187471585e-01,7.992818797627201377e-01
2.380000000000000171e-01,7.882026420838168512e-01,7.979150445106070189e-01
2.399999999999999911e-01,7.866278102934809446e-01,7.965879533312381078e-01
2.419999999999999929e-01,7.850561250635920141e-01,7.947301942886055848e-01
2.439999999999999947e-01,7.834875801236309556e-01,7.931879924206386434e-01
2.459999999999999964e-01,7.819221692167077631e-01,7.909632964123177734e-01
2.479999999999999982e-01,7.803598860995597519e-01,7.898059037022160389e-01
2.500000000000000000e-01,7.788007245425534464e-01,7.880043627954327334e-01
2.520000000000000018e-01,7.772446783296834694e-01,7.872508301006970743e-01
2.540000000000000036e-01,7.756917412585729865e-01,7.856850553809997528e-01
2.560000000000000053e-01,7.741419071404732621e-01,7.843848962393755730e-01
