time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.312000000000000055e+00,1.763590808803104301e-02,nan,2.516450464206672621e-01,nan
1.314000000000000057e+00,1.733566319239274872e-02,nan,2.514072676063921485e-01,nan
1.316000000000000059e+00,1.703841649831379021e-02,nan,2.511675655625328352e-01,nan
1.318000000000000060e+00,1.674415768494172049e-02,nan,2.509259484621667036e-01,nan
1.320000000000000062e+00,1.645287642175563211e-02,nan,2.506824244923331335e-01,nan
1.322000000000000064e+00,1.616456236880405364e-02,nan,2.504370018537873110e-01,nan
1.324000000000000066e+00,1.587920517694237088e-02,nan,2.501896887607544806e-01,nan
1.326000000000000068e+00,1.559679448806981436e-02,nan,2.499404934406843914e-01,nan
1.328000000000000069e+00,1.531731993536598890e-02,nan,2.496894241340064102e-01,nan
1.330000000000000071e+00,1.504077114352695213e-02,nan,2.494364890938852997e-01,nan
1.332000000000000073e+00,1.476713772900082981e-02,nan,2.491816965859768862e-01,nan
1.334000000000000075e+00,1.449640930022300274e-02,nan,2.489250548881847824e-01,nan
1.336000000000000076e+00,1.422857545785081133e-02,nan,2.486665722904172204e-01,nan
1.338000000000000078e+00,1.396362579499784047e-02,nan,2.484062570943446624e-01,nan
1.340000000000000080e+00,1.370154989746774285e-02,nan,2.481441176131576887e-01,nan
1.342000000000000082e+00,1.344233734398757665e-02,nan,2.478801621713252468e-01,nan
1.344000000000000083e+00,1.318597770644074595e-02,nan,2.476143991043535941e-01,nan
1.346000000000000085e+00,1.293246055009944842e-02,nan,2.473468367585455741e-01,nan
1.348000000000000087e+00,1.268177543385668946e-02,nan,2.470774834907605855e-01,nan
1.350000000000000089e+00,1.243391191045784341e-02,nan,2.468063476681746915e-01,nan
1.352000000000000091e+00,1.218885951125453504e-02,nan,2.465334376833314689e-01,nan
1.354000000000000092e+00,1.194660771859659860e-02,nan,2.462587619814059769e-01,nan
1.356000000000000094e+00,1.170714605537124219e-02,nan,2.459823289717359418e-01,nan
1.358000000000000096e+00,1.147046404358162928e-02,nan,2.457041470687326701e-01,nan
1.360000000000000098e+00,1.123655119981240534e-02,nan,2.454242246963493079e-01,nan
1.362000000000000099e+00,1.100539703544706378e-02,nan,2.451425702878551882e-01,nan
1.364000000000000101e+00,1.077699105688480555e-02,nan,2.448591922856115377e-01,nan
1.366000000000000103e+00,1.055132276575667695e-02,nan,2.445740991408462128e-01,nan
1.368000000000000105e+00,1.032838165914127214e-02,nan,2.442872993134307669e-01,nan
1.370000000000000107e+00,1.010815722977970871e-02,nan,2.439988012716567400e-01,nan
1.372000000000000108e+00,9.890638966290122777e-03,nan,2.437086134920133929e-01,nan
1.374000000000000110e+00,9.675816353381503157e-03,nan,2.434167444589656615e-01,nan
1.376000000000000112e+00,9.463678872066989475e-03,nan,2.431232026647329458e-01,nan
1.378000000000000114e+00,9.254215999876545806e-03,nan,2.428279966090682584e-01,nan
1.380000000000000115e+00,9.047417211069065310e-03,nan,2.425311347990381505e-01,nan
1.382000000000000117e+00,8.843271976843885065e-03,nan,2.422326257488032486e-01,nan
1.384000000000000119e+00,8.641769765551709365e-03,nan,2.419324779793993740e-01,nan
1.386000000000000121e+00,8.442900042904950136e-03,nan,2.416307000185191900e-01,nan
1.388000000000000123e+00,8.246652272187468893e-03,nan,2.413273004002943478e-01,nan
1.390000000000000124e+00,8.053015914463758362e-03,nan,2.410222876650788826e-01,nan
1.392000000000000126e+00,7.861980428787487471e-03,nan,2.407156703592321922e-01,nan
1.394000000000000128e+00,7.673535272409516377e-03,nan,2.404074570349034323e-01,nan
1.396000000000000130e+00,7.487669900985285260e-03,nan,2.400976562498165212e-01,nan
1.398000000000000131e+00,7.304373768781619383e-03,nan,2.397862765670547569e-01,nan
1.400000000000000133e+00,7.123636328882960826e-03,nan,2.394733265548474321e-01,nan
1.402000000000000135e+00,6.945447033397011277e-03,nan,2.391588147863562830e-01,nan
1.404000000000000137e+00,6.769795333659767676e-03,nan,2.388427498394623538e-01,nan
1.406000000000000139e+00,6.596670680439987999e-03,nan,2.385251402965538614e-01,nan
1.407999999999999918e+00,6.426062524143093257e-03,nan,2.382059947443149750e-01,nan
1.409999999999999920e+00,6.257960315014361730e-03,nan,2.378853217735140968e-01,nan
1.411999999999999922e+00,6.092353503341755433e-03,nan,2.375631299787941131e-01,nan
1.413999999999999924e+00,5.929231539657946887e-03,nan,2.372394279584621457e-01,nan
1.415999999999999925e+00,5.768583874941863622e-03,nan,2.369142243142806081e-01,nan
1.417999999999999927e+00,5.610399960819629876e-03,nan,2.365875276512584557e-01,nan
